"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000249673.10",40.7354001586698,1.15100848203535,0.728368997222314,1.58025463250742,0.114048564916044,0.173749838819984
"ENSG00000087269.16",26.0063567241187,-4.43860306732673,1.2220740629491,-3.63202460627919,0.000281206300193053,0.00312122268070008
"ENSG00000125388.20",2.18069593997162,-4.37032103892257,2.23500246967322,-1.95539875155554,0.0505360233730401,0.0973194322555078
"ENSG00000197386.14",165.845041514756,-0.0132232651073915,0.664548337925772,-0.0198981238124299,0.984124641830563,0.989135544105496
"ENSG00000199335.1",1.74455675197729,-4.04839414423605,2.258163517781,-1.7927816618941,0.0730078428488308,0.124113332843012
"ENSG00000251075.3",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000159788.20",91.4023126839532,1.15327169975496,0.683531908576654,1.68722437867818,0.0915602154349879,0.151103140030725
"ENSG00000293213.1",0.872278375988647,-3.04839796807759,2.37057660443188,-1.28593101036199,0.198467139986491,NA
"ENSG00000175920.18",5.23367025593188,-5.63335053887182,2.18000323952796,-2.58410191174377,0.00976329405645845,0.0315855720626453
"ENSG00000163956.13",96.673366298856,1.42990356628928,0.684020797382931,2.09043872899787,0.036578406941704,0.0765025695870017
"ENSG00000270090.6",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000253917.5",3.19004663218705,-2.19067600481253,1.68656876044226,-1.29889516288566,0.193979909924538,0.271563408513388
"ENSG00000295948.1",14.6667378362662,-3.55991063611121,1.23454093652668,-2.88359059694435,0.00393169534541606,0.017247119397594
"ENSG00000290888.2",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000132406.12",6.65423789682768,-0.927646793082062,1.06992989102599,-0.867016428704981,0.385933008231958,0.4813079522567
"ENSG00000145220.14",100.561235631834,-5.09114193135659,0.91751675851977,-5.54882718389813,2.87592274290964e-08,4.32397955605497e-06
"ENSG00000168826.16",37.2089032957443,-5.99802191120494,1.58820287840681,-3.77660939465228,0.000158977751960464,0.0021309447588732
"ENSG00000248516.2",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000168824.15",17.4580286394299,0.14635261647546,0.809879083385486,0.180709218793096,0.856595822373122,0.892699996395218
"ENSG00000168818.10",41.6076785346585,1.05479322761857,0.725183424785927,1.45451921757581,0.145802409423029,0.214610867632282
"ENSG00000248221.1",4.63553651239681,-1.60571699106349,1.31039001808537,-1.22537333839709,0.220434587640427,0.303183238845537
"ENSG00000247708.9",39.6512827485125,2.22716894087169,0.763461692768491,2.91719802311947,0.00353191462735388,0.0161238113291948
"ENSG00000307887.1",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000163132.8",1.88162906820408,-1.19067850990223,1.78645112604282,-0.666504945220474,0.505088403850327,0.593527330806114
"ENSG00000152953.13",1.00935069221543,0.39427668220023,2.139850155706,0.184254341898135,0.853813930498131,NA
"ENSG00000082929.9",1.14642300844222,3.83694087929067,2.37056920073132,1.61857366496915,0.105539025158872,NA
"ENSG00000173040.13",0.872278375988647,-3.04839796807759,2.37057660443188,-1.28593101036199,0.198467139986491,NA
"ENSG00000072840.13",2.29284601688444,4.83693777649767,2.25815523373158,2.14198638970656,0.0321945772652908,0.0702445855468594
"ENSG00000072832.15",5.04675346107717,0.394279773467237,1.11750520022926,0.352821421668863,0.724222323095042,0.790695716374507
"ENSG00000181215.17",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000152969.21",3.92525269194891,-5.21831469990553,2.19322340203804,-2.37929008739212,0.0173460193340181,0.04629675626249
"ENSG00000287786.1",18.7539850837559,-7.4746449267085,2.15113292012975,-3.4747480533456,0.000511333360886302,0.00461223463926334
"ENSG00000290803.2",4.01248052954778,5.64428984441491,2.20822666538177,2.55602829768342,0.0105874508478359,0.0331099004910311
"ENSG00000251408.1",3.48911350395459,-5.04839036625157,2.19980368872695,-2.29492767564779,0.0217372694510506,0.0532096140522673
"ENSG00000109501.15",42.9534794576124,2.26101239998854,0.756489866386681,2.98882047262325,0.00280056632331963,0.0137665212250441
"ENSG00000074211.14",5.73211504221111,6.15886105425904,2.187936238671,2.81491797859706,0.00487896845934385,0.019728146546712
"ENSG00000013288.9",87.7387435048009,2.56972095512112,0.709882260708014,3.61992558112124,0.000294687757555337,0.003234658588791
"ENSG00000179010.16",609.323828987041,-0.154866394048316,0.65056837475866,-0.238047836410379,0.811843992308096,0.855203923272421
"ENSG00000251580.4",5.32089809353075,1.61667033685817,1.18633737320849,1.36274079647835,0.172964215541603,0.246582922777318
"ENSG00000170846.17",48.2369941921722,0.992181315025595,0.713928360179985,1.38974912661469,0.164605071252503,0.237773941751801
"ENSG00000246526.4",59.1903183706582,-2.55680848932846,0.756950293004711,-3.37777594243239,0.000730745950634861,0.00574701631747403
"ENSG00000282742.1",17.8817067077673,-7.40593248254293,2.15168166008843,-3.4419275954783,0.000577584824084662,0.00498576563905391
"ENSG00000178988.11",46.6918153547066,-0.628087152510942,0.716475416454852,-0.876634617303049,0.380685130240407,0.477104855482848
"ENSG00000186222.5",70.878848608906,0.772791579721039,0.691120072695053,1.11817267397184,0.263493252629885,0.352519819585773
"ENSG00000307875.1",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000170871.12",111.427331972721,-0.00580668951956724,0.673788845125629,-0.00861796623908871,0.993123942905789,0.994623060770043
"ENSG00000132405.19",6.97822700790917,-6.04838633354065,2.17003526244343,-2.78722951567628,0.00531608128862808,0.0209494475464249
